lat,lon
-53.162922,-70.93329
-53.1289609,-70.893777
-53.130819,-70.899604
-53.163004,-70.933802
-53.163205,-70.93248
-53.1557635,-70.9432707
-53.140647,-70.906288
-53.140758,-70.906128
-53.160813,-70.931415
-53.156622,-70.927024
-53.1154888,-70.9321461
-53.1449939,-70.882609
-53.155961,-70.931751
-53.158322,-70.926412
-53.1377889,-70.9249732
-53.1548213,-70.9313997
-53.153701,-70.938065
-53.159709,-70.919055
-53.159229,-70.916475
-53.172441,-70.936711
-53.148685,-70.905702
-53.164862,-70.923444
-53.164515,-70.925403
-53.1783499,-70.9357606
-53.164204,-70.924611
-53.156689,-70.935104
-53.1677,-70.913591
-53.1783414,-70.9357509
-53.166403,-70.934299
-53.166086,-70.93442
-53.166694,-70.933534
-53.172742,-70.937038
-53.1427495,-70.896568
-53.129395,-70.873189
-53.175256,-70.93169
-53.135142,-70.921547
-53.143169,-70.897009
-53.163426,-70.924411
-53.163541,-70.923938
-53.164967,-70.944093
-53.164827,-70.943833
-53.1468094,-70.9364918
-53.1421278,-70.9323331
-53.165029,-70.943617
-53.146734,-70.919134
-53.180793,-70.950541
-53.180483,-70.950228
-53.181691,-70.951704
-53.181008,-70.95081
-53.1657172,-70.9256772
-53.166997,-70.948599
-53.166975,-70.948822
-53.164841,-70.944641
-53.1788274,-70.94921798886887
-53.181832,-70.948598
-53.152233,-70.940422
-53.168877,-70.936999
-53.158738,-70.926311
-53.175546,-70.932137
-53.1761964,-70.9307253
-53.147362,-70.918668
-53.158519,-70.927019
-53.1355247,-70.8909319
-53.137744,-70.884227
-53.157452,-70.930785
-53.1490388,-70.8998795
-53.1328034,-70.8803763
-53.1420259,-70.8973685
-53.1509219,-70.9275738
